dataset_label,department_label,course_code,subject,number,section,title,description,prerequisites,corequisites,restrictions,notes,delivery,source_file
maths,maths,STAT 1P50,STAT,1P50,,.,Concurrent BSc/BEd The Department of Mathematics and Statistics and the Faculty of Education co-operate in offering two Concurrent BSc (Honours)/BEd programs. The Mathematics BSc (Honours)/BEd programs combines the BSc Honours program or BSc Integrated Studies Honours program with the teacher education program for students interested in teaching at the Intermediate/Senior level (grades 7-12) and at the Junior/Intermediate level (grades 4-10). Refer to the Education - Concurrent BSc (Honours)/BEd (Intermediate/Senior) or Education - Concurrent BSc Integrated Studies (Honours)/BEd (Junior/Intermediate) program listings for further information. Concentration Program Concentrations in Mathematics and Statistics,,,,"Students in the Mathematics Co-op (Honours only) program can choose any of the concentrations in Applied Mathematics, Mathematics Education, Mathematics Integrated with Computers and Applications (MICA), or Pure Mathematics. Concentration in Applied Mathematics The Concentration in Applied Mathematics program is designed for students who want a solid foundation in mathematics, statistics and computing along with exposure to modern topics like mathematics of networks, dynamical systems, cryptography, soliton theory, and mathematical physics. Graduates of this program will be able to pursue a variety of jobs in industries such as energy, aerospace and telecommunications, health/medical technology, mathematical software, and also will be well prepared to undertake graduate studies in applied mathematics or computational science or mathematical physics. Students may earn a Concentration in Applied Mathematics by successfully completing the following courses as part of the academic work leading to a BSc (Honours) in Mathematics and Statistics: One and one-half credits from",,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 1P40,MATH,1P40,,",","1P66 , 2P04 , 2P08 one-half credit from",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 2P91,MATH,2P91,,",","2P92 , 2P94 two credits from f",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 3P03,MATH,3P03,,",","3P04 , 3P06 , 3P09 , 3P60 , 3P72 , 3P75 , 3P97 , 3P98 one-half credit from",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 3P51,MATH,3P51,,",","3P52 , 3P96 three and one-half credits from",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 3P95,MATH,3P95,,",","3P94 , 3P95 , 4P03 , 4P06 , 4P09 4P11 or 4P13 , 4P71 , 4P92 , 4P94 Concentration in Mathematics Education The Concentration in Mathematics Education program is for the modern teacher who wants to harness the technology that is transforming the teaching and learning of mathematics in the twenty-first century. Graduates of this program will answer the Ontario government's call for mathematics educators who are experts in teaching with a variety of technological tools. Future teachers will obtain a strong background in traditional mathematics such as calculus, algebra and geometry, and also will study the historical and contemporary contributions of mathematics to civilization. In addition, students will learn how technology can be used to create interactive learning environments, to model the real world, and to visualize information. This unique program provides several courses designed specifically for future mathematics teachers. Students may earn a Concentration in Mathematics Education by successfully completing the following courses as part of the academic work leading to a BSc (Honours) in Mathematics and Statistics:",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 1P40,MATH,1P40,,",","2P03 , 2P12 , 2P40 , 2P90 , 3P12 , 3P23 , 3P41 , 3P91 , 4P23 and 4P96",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 2P92,MATH,2P92,,or,"2P94 Concentration in Mathematics Integrated with Computers and Applications (MICA) The Concentration in Mathematics Integrated with Computers and Applications (MICA) program, focusing on technology, is ideal for students desiring careers in the application of mathematics to science, industry and finance. Graduates of this program have gone on to obtain Masters degrees in areas such as finance and computational mathematics. Students receive a solid grounding in mathematical theory and also learn how to use computer and information technology to apply and present what they have learned. The core of the MICA program consists of",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 1P40,MATH,1P40,,",","2P40 and 3P40 in which students confront real world problems requiring them to create mathematical models and run computer simulations. In solving such problems, students are encouraged to develop their own strategies for using the best combination of mathematics and computing. Students may earn a Concentration in Mathematics Integrated with Computers and Applications by successfully completing the following courses as part of the academic work leading to a BSc (Honours) in Mathematics and Statistics:",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 1P40,MATH,1P40,,",","2P08 , 2P40 , 3P40 ,",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,STAT 3P81,STAT,3P81,,and,3P82,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 4F90,MATH,4F90,,or,,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
